sample_id,word_index,word,kimi_reported_status,kimi_note,ctc_start,ctc_end,kimi_start,kimi_end,human_reference,kimi_valid_time_pair,asr_start,asr_end,ctc_asr_max_difference_ms,kimi_asr_max_difference_ms,ctc_kimi_max_difference_ms
-mJ2ud6oKI8__6,0,They,transcript_mismatch,实际语音为'that we all want to approach really any...'（base/small双模型一致，语图约8-10个音节），与给定词'They are all very safe'不符,0.0225,0.4425,,,False,False,,,,,
-mJ2ud6oKI8__6,1,are,transcript_mismatch,实际语音为'that we all want to approach really any...'（base/small双模型一致，语图约8-10个音节），与给定词'They are all very safe'不符,0.5825,0.7025,,,False,False,,,,,
-mJ2ud6oKI8__6,2,all,transcript_mismatch,实际语音为'that we all want to approach really any...'（base/small双模型一致，语图约8-10个音节），与给定词'They are all very safe'不符,0.8425,0.9425,,,False,False,0.4,0.66,442.5,,
-mJ2ud6oKI8__6,3,very,transcript_mismatch,实际语音为'that we all want to approach really any...'（base/small双模型一致，语图约8-10个音节），与给定词'They are all very safe'不符,1.3625,2.0025,,,False,False,,,,,
-mJ2ud6oKI8__6,4,safe,transcript_mismatch,实际语音为'that we all want to approach really any...'（base/small双模型一致，语图约8-10个音节），与给定词'They are all very safe'不符,2.0225,2.1625,,,False,False,,,,,
-HwX2H8Z4hY__2,0,”,transcript_mismatch,纯标点引号，无对应语音,,,,,False,False,,,,,
-HwX2H8Z4hY__2,1,[President,transcript_mismatch,说话人标注'[President Ronald Reagan:]'非口播内容；0-0.94秒实际语音为'mediocrity.',0.0025,0.2425,,,False,False,,,,,
-HwX2H8Z4hY__2,2,Ronald,transcript_mismatch,说话人标注'[President Ronald Reagan:]'非口播内容；0-0.94秒实际语音为'mediocrity.',0.3025,0.5225,,,False,False,,,,,
-HwX2H8Z4hY__2,3,Reagan:],transcript_mismatch,说话人标注'[President Ronald Reagan:]'非口播内容；0-0.94秒实际语音为'mediocrity.',0.5425,0.7825,,,False,False,,,,,
-HwX2H8Z4hY__2,4,"""Look",confirmed,无,2.7025,2.8225,2.685,2.8,False,True,2.4599999999999995,2.8,242.5000000000006,225.00000000000054,22.499999999999964
-HwX2H8Z4hY__2,5,at,confirmed,无,2.8825,2.9225,2.8,2.905,False,True,2.8,2.92,82.50000000000001,15.000000000000124,82.50000000000001
-HwX2H8Z4hY__2,6,the,confirmed,无,2.9625,3.0225,2.94,3.02,False,True,2.92,3.02,42.499999999999986,20.000000000000018,22.499999999999964
-HwX2H8Z4hY__2,7,record,confirmed,无,3.0825,3.3425,3.02,3.19,False,True,3.02,3.28,62.5,89.99999999999986,152.49999999999986
-s9qJ7ATP7w__1,0,But,confirmed,ASR漏识别，但0.56-0.68秒存在独立浊音音节（语图确认），与系统对齐pred位置一致,0.5425,0.8425,0.555,0.69,False,True,,,,,152.50000000000009
-s9qJ7ATP7w__1,1,the,confirmed,句首词，ASR听作The,1.3625,1.4225,0.825,1.005,False,True,0.7599999999999991,1.1999999999999995,602.5000000000009,194.99999999999963,537.5000000000001
-s9qJ7ATP7w__1,2,hardest,confirmed,无,1.4825,1.7425,1.355,1.66,False,True,1.1999999999999995,1.64,282.5000000000004,155.00000000000048,127.49999999999994
-s9qJ7ATP7w__1,3,thing,confirmed,无,1.7625,1.8825,1.78,1.86,False,True,1.64,1.86,122.50000000000006,140.0000000000001,22.499999999999964
-s9qJ7ATP7w__1,4,in,confirmed,无,1.9425,1.9825,1.86,2.0,False,True,1.86,2.0,82.4999999999998,0.0,82.4999999999998
-s9qJ7ATP7w__1,5,life,confirmed,无,2.0225,2.1625,2.0,2.12,False,True,2.0,2.1,62.5,20.000000000000018,42.499999999999986
-s9qJ7ATP7w__1,6,to,confirmed,无,2.2025,2.2625,2.235,2.28,False,True,2.1,2.26,102.50000000000003,134.99999999999977,32.49999999999975
-s9qJ7ATP7w__1,7,"learn,",confirmed,无,2.3225,2.5425,2.28,2.5,False,True,2.26,2.48,62.5,20.000000000000018,42.499999999999986
-s9qJ7ATP7w__1,8,is,confirmed,极短（约0.07秒）后接长停顿,3.1425,3.2025,2.5,2.57,False,True,2.48,3.16,662.5000000000001,590.0000000000003,642.5000000000001
-s9qJ7ATP7w__1,9,to,confirmed,无,3.2625,3.3425,3.29,3.32,False,True,3.16,3.32,102.50000000000003,129.9999999999999,27.499999999999858
-s9qJ7ATP7w__1,10,lose,confirmed,无,3.4025,4.2625,3.32,3.535,False,True,3.32,3.56,702.5000000000001,24.99999999999991,727.5
-iRBcNs9oI8__3,0,"Well,",transcript_mismatch,"实际语音为'is going to help you on your tests, such as TOEFL, IELTS, or university'（base/small双模型一致），与给定词'Well, it is the secret of power pose'不符",0.9025,1.0425,,,False,False,,,,,
-iRBcNs9oI8__3,1,it,transcript_mismatch,"实际语音为'is going to help you on your tests, such as TOEFL, IELTS, or university'（base/small双模型一致），与给定词'Well, it is the secret of power pose'不符",1.2225,1.2625,,,False,False,,,,,
-iRBcNs9oI8__3,2,is,transcript_mismatch,"实际语音为'is going to help you on your tests, such as TOEFL, IELTS, or university'（base/small双模型一致），与给定词'Well, it is the secret of power pose'不符",1.9825,2.0225,,,False,False,0.0,0.5,1982.5,,
-iRBcNs9oI8__3,3,the,transcript_mismatch,"实际语音为'is going to help you on your tests, such as TOEFL, IELTS, or university'（base/small双模型一致），与给定词'Well, it is the secret of power pose'不符",2.2825,2.4225,,,False,False,,,,,
-iRBcNs9oI8__3,4,secret,transcript_mismatch,"实际语音为'is going to help you on your tests, such as TOEFL, IELTS, or university'（base/small双模型一致），与给定词'Well, it is the secret of power pose'不符",3.3225,3.6225,,,False,False,,,,,
-iRBcNs9oI8__3,5,of,transcript_mismatch,"实际语音为'is going to help you on your tests, such as TOEFL, IELTS, or university'（base/small双模型一致），与给定词'Well, it is the secret of power pose'不符",3.8425,3.9825,,,False,False,,,,,
-iRBcNs9oI8__3,6,power,transcript_mismatch,"实际语音为'is going to help you on your tests, such as TOEFL, IELTS, or university'（base/small双模型一致），与给定词'Well, it is the secret of power pose'不符",4.4025,4.9425,,,False,False,,,,,
-iRBcNs9oI8__3,7,pose,transcript_mismatch,"实际语音为'is going to help you on your tests, such as TOEFL, IELTS, or university'（base/small双模型一致），与给定词'Well, it is the secret of power pose'不符",5.1025,5.4425,,,False,False,,,,,
-hnBHBN8p5A__6,0,"Discussion,",transcript_mismatch,"实际语音为'to follow just one vision/mission. Have you ever wondered how a single person'（base/small双模型一致），与给定词'Discussion, how to discuss ideas...'不符",0.3025,0.6225,,,False,False,,,,,
-hnBHBN8p5A__6,1,how,transcript_mismatch,"实际语音为'to follow just one vision/mission. Have you ever wondered how a single person'（base/small双模型一致），与给定词'Discussion, how to discuss ideas...'不符",0.6825,0.8025,,,False,False,4.5,4.82,4017.5,,
-hnBHBN8p5A__6,2,to,transcript_mismatch,"实际语音为'to follow just one vision/mission. Have you ever wondered how a single person'（base/small双模型一致），与给定词'Discussion, how to discuss ideas...'不符",0.8625,0.9225,,,False,False,,,,,
-hnBHBN8p5A__6,3,discuss,transcript_mismatch,"实际语音为'to follow just one vision/mission. Have you ever wondered how a single person'（base/small双模型一致），与给定词'Discussion, how to discuss ideas...'不符",0.9425,1.2425,,,False,False,,,,,
-hnBHBN8p5A__6,4,ideas,transcript_mismatch,"实际语音为'to follow just one vision/mission. Have you ever wondered how a single person'（base/small双模型一致），与给定词'Discussion, how to discuss ideas...'不符",1.6025,1.7225,,,False,False,,,,,
-hnBHBN8p5A__6,5,and,transcript_mismatch,"实际语音为'to follow just one vision/mission. Have you ever wondered how a single person'（base/small双模型一致），与给定词'Discussion, how to discuss ideas...'不符",1.7625,1.8425,,,False,False,,,,,
-hnBHBN8p5A__6,6,opinions,transcript_mismatch,"实际语音为'to follow just one vision/mission. Have you ever wondered how a single person'（base/small双模型一致），与给定词'Discussion, how to discuss ideas...'不符",1.8625,2.2025,,,False,False,,,,,
-hnBHBN8p5A__6,7,more,transcript_mismatch,"实际语音为'to follow just one vision/mission. Have you ever wondered how a single person'（base/small双模型一致），与给定词'Discussion, how to discuss ideas...'不符",3.8825,4.0625,,,False,False,,,,,
-hnBHBN8p5A__6,8,effectively,transcript_mismatch,"实际语音为'to follow just one vision/mission. Have you ever wondered how a single person'（base/small双模型一致），与给定词'Discussion, how to discuss ideas...'不符",4.1225,4.5425,,,False,False,,,,,
