sample_id,word_index,word,reference_start_s,reference_end_s,review_status,confidence,reviewer,review_date,playback_rate,reviewer_note,pred_start_s,pred_end_s,automatically_aligned,included_in_accuracy
-mJ2ud6oKI8__6,0,They,,,pending,,,,,,0.0225,0.4425,True,False
-mJ2ud6oKI8__6,1,are,,,pending,,,,,,0.5825,0.7025,True,False
-mJ2ud6oKI8__6,2,all,,,pending,,,,,,0.8425,0.9425,True,False
-mJ2ud6oKI8__6,3,very,,,pending,,,,,,1.3625,2.0025,True,False
-mJ2ud6oKI8__6,4,safe,,,pending,,,,,,2.0225,2.1625,True,False
-HwX2H8Z4hY__2,0,”,,,pending,,,,,,,,False,False
-HwX2H8Z4hY__2,1,[President,,,pending,,,,,,0.0025,0.2425,True,False
-HwX2H8Z4hY__2,2,Ronald,,,pending,,,,,,0.3025,0.5225,True,False
-HwX2H8Z4hY__2,3,Reagan:],,,pending,,,,,,0.5425,0.7825,True,False
-HwX2H8Z4hY__2,4,"""Look",,,pending,,,,,,2.7025,2.8225,True,False
-HwX2H8Z4hY__2,5,at,,,pending,,,,,,2.8825,2.9225,True,False
-HwX2H8Z4hY__2,6,the,,,pending,,,,,,2.9625,3.0225,True,False
-HwX2H8Z4hY__2,7,record,,,pending,,,,,,3.0825,3.3425,True,False
-s9qJ7ATP7w__1,0,But,,,pending,,,,,,0.5425,0.8425,True,False
-s9qJ7ATP7w__1,1,the,,,pending,,,,,,1.3625,1.4225,True,False
-s9qJ7ATP7w__1,2,hardest,,,pending,,,,,,1.4825,1.7425,True,False
-s9qJ7ATP7w__1,3,thing,,,pending,,,,,,1.7625,1.8825,True,False
-s9qJ7ATP7w__1,4,in,,,pending,,,,,,1.9425,1.9825,True,False
-s9qJ7ATP7w__1,5,life,,,pending,,,,,,2.0225,2.1625,True,False
-s9qJ7ATP7w__1,6,to,,,pending,,,,,,2.2025,2.2625,True,False
-s9qJ7ATP7w__1,7,"learn,",,,pending,,,,,,2.3225,2.5425,True,False
-s9qJ7ATP7w__1,8,is,,,pending,,,,,,3.1425,3.2025,True,False
