sample_id,word_index,word,pred_start_s,pred_end_s,reference_start_s,reference_end_s,review_status,reviewer_note
-mJ2ud6oKI8__6,0,They,0.0225,0.4425,,,pending,
-mJ2ud6oKI8__6,1,are,0.5825,0.7025,,,pending,
-mJ2ud6oKI8__6,2,all,0.8425,0.9425,,,pending,
-mJ2ud6oKI8__6,3,very,1.3625,2.0025,,,pending,
-mJ2ud6oKI8__6,4,safe,2.0225,2.1625,,,pending,
-HwX2H8Z4hY__2,0,”,,,,,pending,
-HwX2H8Z4hY__2,1,[President,0.0025,0.2425,,,pending,
-HwX2H8Z4hY__2,2,Ronald,0.3025,0.5225,,,pending,
-HwX2H8Z4hY__2,3,Reagan:],0.5425,0.7825,,,pending,
-HwX2H8Z4hY__2,4,"""Look",2.7025,2.8225,,,pending,
-HwX2H8Z4hY__2,5,at,2.8825,2.9225,,,pending,
-HwX2H8Z4hY__2,6,the,2.9625,3.0225,,,pending,
-HwX2H8Z4hY__2,7,record,3.0825,3.3425,,,pending,
-s9qJ7ATP7w__1,0,But,0.5425,0.8425,,,pending,
-s9qJ7ATP7w__1,1,the,1.3625,1.4225,,,pending,
-s9qJ7ATP7w__1,2,hardest,1.4825,1.7425,,,pending,
-s9qJ7ATP7w__1,3,thing,1.7625,1.8825,,,pending,
-s9qJ7ATP7w__1,4,in,1.9425,1.9825,,,pending,
-s9qJ7ATP7w__1,5,life,2.0225,2.1625,,,pending,
-s9qJ7ATP7w__1,6,to,2.2025,2.2625,,,pending,
-s9qJ7ATP7w__1,7,"learn,",2.3225,2.5425,,,pending,
-s9qJ7ATP7w__1,8,is,3.1425,3.2025,,,pending,
-s9qJ7ATP7w__1,9,to,3.2625,3.3425,,,pending,
-s9qJ7ATP7w__1,10,lose,3.4025,4.2625,,,pending,
-iRBcNs9oI8__3,0,"Well,",0.9025,1.0425,,,pending,
-iRBcNs9oI8__3,1,it,1.2225,1.2625,,,pending,
-iRBcNs9oI8__3,2,is,1.9825,2.0225,,,pending,
-iRBcNs9oI8__3,3,the,2.2825,2.4225,,,pending,
-iRBcNs9oI8__3,4,secret,3.3225,3.6225,,,pending,
-iRBcNs9oI8__3,5,of,3.8425,3.9825,,,pending,
-iRBcNs9oI8__3,6,power,4.4025,4.9425,,,pending,
-iRBcNs9oI8__3,7,pose,5.1025,5.4425,,,pending,
-hnBHBN8p5A__6,0,"Discussion,",0.3025,0.6225,,,pending,
-hnBHBN8p5A__6,1,how,0.6825,0.8025,,,pending,
-hnBHBN8p5A__6,2,to,0.8625,0.9225,,,pending,
-hnBHBN8p5A__6,3,discuss,0.9425,1.2425,,,pending,
-hnBHBN8p5A__6,4,ideas,1.6025,1.7225,,,pending,
-hnBHBN8p5A__6,5,and,1.7625,1.8425,,,pending,
-hnBHBN8p5A__6,6,opinions,1.8625,2.2025,,,pending,
-hnBHBN8p5A__6,7,more,3.8825,4.0625,,,pending,
-hnBHBN8p5A__6,8,effectively,4.1225,4.5425,,,pending,
-hnBHBN8p5A__6,9,than,4.6225,4.8825,,,pending,
-hnBHBN8p5A__6,10,a,5.7425,5.7625,,,pending,
-hnBHBN8p5A__6,11,native,5.8825,6.0225,,,pending,
-hnBHBN8p5A__6,12,speaker,6.0425,6.3225,,,pending,
-s9qJ7ATP7w__7,0,I,0.5625,0.5825,,,pending,
-s9qJ7ATP7w__7,1,used,0.6825,0.7825,,,pending,
-s9qJ7ATP7w__7,2,to,0.8025,0.8625,,,pending,
-s9qJ7ATP7w__7,3,work,0.8825,0.9825,,,pending,
-s9qJ7ATP7w__7,4,for,1.0425,1.1225,,,pending,
-s9qJ7ATP7w__7,5,Warren,1.1625,1.4025,,,pending,
-s9qJ7ATP7w__7,6,"Avis,",1.4425,1.6825,,,pending,
-s9qJ7ATP7w__7,7,the,1.9225,1.9825,,,pending,
-s9qJ7ATP7w__7,8,guy,2.0225,2.1225,,,pending,
