sample_id,word_index,word,pred_start_s,pred_end_s,reference_start_s,reference_end_s,review_status,reviewer_note
-mJ2ud6oKI8__6,0,They,0.0225,0.4425,,,pending,
-mJ2ud6oKI8__6,1,are,0.5825,0.7025,,,pending,
-mJ2ud6oKI8__6,2,all,0.8425,0.9425,,,pending,
-mJ2ud6oKI8__6,3,very,1.3625,2.0025,,,pending,
-mJ2ud6oKI8__6,4,safe,2.0225,2.1625,,,pending,
-HwX2H8Z4hY__2,0,”,,,,,pending,
-HwX2H8Z4hY__2,1,[President,0.0025,0.2425,,,pending,
-HwX2H8Z4hY__2,2,Ronald,0.3025,0.5225,,,pending,
-HwX2H8Z4hY__2,3,Reagan:],0.5425,0.7825,,,pending,
-HwX2H8Z4hY__2,4,"""Look",2.7025,2.8225,,,pending,
-HwX2H8Z4hY__2,5,at,2.8825,2.9225,,,pending,
-HwX2H8Z4hY__2,6,the,2.9625,3.0225,,,pending,
-HwX2H8Z4hY__2,7,record,3.0825,3.3425,,,pending,
-s9qJ7ATP7w__1,0,But,0.5425,0.8425,,,pending,
-s9qJ7ATP7w__1,1,the,1.3625,1.4225,,,pending,
-s9qJ7ATP7w__1,2,hardest,1.4825,1.7425,,,pending,
-s9qJ7ATP7w__1,3,thing,1.7625,1.8825,,,pending,
-s9qJ7ATP7w__1,4,in,1.9425,1.9825,,,pending,
-s9qJ7ATP7w__1,5,life,2.0225,2.1625,,,pending,
-s9qJ7ATP7w__1,6,to,2.2025,2.2625,,,pending,
-s9qJ7ATP7w__1,7,"learn,",2.3225,2.5425,,,pending,
-s9qJ7ATP7w__1,8,is,3.1425,3.2025,,,pending,
-s9qJ7ATP7w__1,9,to,3.2625,3.3425,,,pending,
-s9qJ7ATP7w__1,10,lose,3.4025,4.2625,,,pending,
-HwX2H8Z4hY__5,0,"""",,,,,pending,
-HwX2H8Z4hY__5,1,President,0.8025,1.2025,,,pending,
-HwX2H8Z4hY__5,2,Ronald,1.3225,1.6225,,,pending,
-HwX2H8Z4hY__5,3,Reagan,1.7025,2.0825,,,pending,
-HwX2H8Z4hY__5,4,blamed,2.2025,2.5225,,,pending,
-HwX2H8Z4hY__5,5,the,2.6425,2.7225,,,pending,
-HwX2H8Z4hY__5,6,professional,2.7825,3.3625,,,pending,
-HwX2H8Z4hY__5,7,bureaucracy,3.4625,4.1425,,,pending,
-HwX2H8Z4hY__5,8,of,4.3025,4.3425,,,pending,
-HwX2H8Z4hY__5,9,education,4.4625,5.0825,,,pending,
-egA8-b7-3M__6,0,First,0.5225,0.8025,,,pending,
-egA8-b7-3M__6,1,exhibiting,1.0425,1.5625,,,pending,
-egA8-b7-3M__6,2,is,1.6425,1.7425,,,pending,
-egA8-b7-3M__6,3,a,1.8025,1.8225,,,pending,
-egA8-b7-3M__6,4,wonderful,1.9425,2.4025,,,pending,
-egA8-b7-3M__6,5,opportunity,2.5425,3.1625,,,pending,
-egA8-b7-3M__6,6,to,3.2625,3.3825,,,pending,
-egA8-b7-3M__6,7,network,3.4825,3.8625,,,pending,
-egA8-b7-3M__6,8,with,3.9625,4.0825,,,pending,
-egA8-b7-3M__6,9,other,4.2625,4.4425,,,pending,
-egA8-b7-3M__6,10,legal,4.6025,4.8825,,,pending,
-egA8-b7-3M__6,11,vendors.,4.9625,5.3825,,,pending,
-wny0OAz3g8__5,0,This,0.5825,0.7025,,,pending,
-wny0OAz3g8__5,1,is,0.7825,0.8225,,,pending,
-wny0OAz3g8__5,2,what’s,0.8825,1.0425,,,pending,
-wny0OAz3g8__5,3,now,1.1025,1.2225,,,pending,
-wny0OAz3g8__5,4,known,1.3025,1.5025,,,pending,
-wny0OAz3g8__5,5,as,1.5625,1.6225,,,pending,
-wny0OAz3g8__5,6,racial,1.7225,1.9825,,,pending,
-wny0OAz3g8__5,7,formation,2.0425,2.4425,,,pending,
-wny0OAz3g8__5,8,"theory,",2.5425,2.7825,,,pending,
