sample_id,selection_reason,mask_seed,missing_mode,position,span_fraction,start_content_index,span_steps,true_intensity,clean_intensity,masked_intensity,true_polarity,clean_polarity,masked_polarity,error_increase,raw_text,attribution,span_wordpieces,text_actually_removed,span_token_ids,span_aligned_indices
31474$_$6,largest_error_increase,5102,text+audio,early,0.55,0,9,-2.6666667461395264,-2.590676784515381,1.4066355228424072,Negative,Negative,Positive,3.997312307357788,This movie was quite possibly the worst movie I've ever seen in my life,Observed change under synthetic masking; semantic cause requires manual review,this movie was quite possibly the worst movie i,True,"[2023, 3185, 2001, 3243, 4298, 1996, 5409, 3185, 1045]","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
89835$_$7,largest_error_increase,5103,text+audio+vision,middle,0.35,16,14,-2.3333332538604736,-1.8506805896759033,1.9109162092208862,Negative,Negative,Positive,3.7615966796875,"(uhh) There are a few (uhh) good moments in there, (umm) however I really didn't, (uhh) really didn't enjoy the film all that much",Observed change under synthetic masking; semantic cause requires manual review,", ( umm ) however i really didn ' t , ( uhh",True,"[1010, 1006, 26114, 1007, 2174, 1045, 2428, 2134, 1005, 1056, 1010, 1006, 7910, 2232]","[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
258654$_$3,largest_error_increase,5101,text+audio+vision,early,0.15,4,7,-2.3333332538604736,-1.6423900127410889,1.8105700016021729,Negative,Negative,Positive,3.4529600143432617,"This is a really bad movie, it has no plot whatsoever and I really had high hopes for it because at his best Will Ferrell can be (uhh) apparently zany and funny, but spent a lot of money advertising (uhh) this movie, had multiple spots during the superbowl",Observed change under synthetic masking; semantic cause requires manual review,"bad movie , it has no plot",True,"[2919, 3185, 1010, 2009, 2038, 2053, 5436]","[5, 6, 7, 8, 9, 10, 11]"
188343$_$12,largest_error_increase,5101,text+audio+vision,middle,0.35,9,10,-2.0,-2.4441049098968506,1.6620537042617798,Negative,Negative,Positive,3.2179486751556396,(uhh) But all in all it's it's (stutter) not a very good movie and so I would not recommend it,Observed change under synthetic masking; semantic cause requires manual review,' s it ' s ( stutter ) not,True,"[1005, 1055, 2009, 1005, 1055, 1006, 24646, 12079, 1007, 2025]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
99501$_$10,largest_error_increase,5105,text+audio,late,0.55,9,12,-1.6666666269302368,-0.8769813179969788,2.0213561058044434,Negative,Negative,Positive,2.8983373641967773,"(uhh) The special effects are nice, but not enough to warrant any kind of purchase or rental",Observed change under synthetic masking; semantic cause requires manual review,", but not enough to warrant any kind of purchase or rental",True,"[1010, 2021, 2025, 2438, 2000, 10943, 2151, 2785, 1997, 5309, 2030, 12635]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
2S00zYaVrtc$_$10,largest_error_increase,5104,text+audio,early,0.15,2,3,-2.6666667461395264,-1.4638054370880127,1.4143794775009155,Negative,Negative,Positive,2.8781847953796387,The pepper spray incident was one that I will deeply regret for the rest of my life.,Observed change under synthetic masking; semantic cause requires manual review,spray incident was,True,"[12509, 5043, 2001]","[3, 4, 5]"
wF8980oGklk$_$6,fixed_random,5105,text+audio+vision,late,0.55,11,13,0.0,0.7313241958618164,0.9400206804275513,Neutral,Positive,Positive,0.20869648456573486,They were using CENTORRINO as well and had good reports back about those so we thought we'd have a chat,Observed change under synthetic masking; semantic cause requires manual review,reports back about those so we thought we ' d have a chat,True,"[4311, 2067, 2055, 2216, 2061, 2057, 2245, 2057, 1005, 1040, 2031, 1037, 11834]","[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
Q4WzApjaCNI$_$0,fixed_random,5102,text+audio,late,0.15,9,2,0.6666666865348816,0.5367025136947632,0.4663962721824646,Positive,Positive,Positive,0.07030624151229858,So Wagner talked him into building a special theater just for these productions,Observed change under synthetic masking; semantic cause requires manual review,just for,True,"[2074, 2005]","[10, 11]"
tXQpm-nKxNA$_$5,fixed_random,5104,text+vision,late,0.15,13,3,1.6666666269302368,1.2351152896881104,0.2826758623123169,Positive,Positive,Positive,0.9524394273757935,For those of you already pursuing an education abroad I'm very grateful and wish you well.,Observed change under synthetic masking; semantic cause requires manual review,grateful and wish,True,"[8794, 1998, 4299]","[14, 15, 16]"
CJGuudyvA0Y$_$4,fixed_random,5103,text+audio+vision,middle,0.55,15,21,-0.6666666865348816,0.322773277759552,-0.5118135213851929,Negative,Positive,Negative,-0.8345867991447449,Don't end up in this situation track all of your human resources and make sure everyone who works for you is under contract from the beginning and keep it all organized and loaded in IncMind.,Observed change under synthetic masking; semantic cause requires manual review,make sure everyone who works for you is under contract from the beginning and keep it all organized and loaded in,True,"[2191, 2469, 3071, 2040, 2573, 2005, 2017, 2003, 2104, 3206, 2013, 1996, 2927, 1998, 2562, 2009, 2035, 4114, 1998, 8209, 1999]","[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]"
80566$_$3,fixed_random,5103,audio+vision,late,0.55,7,9,0.3333333432674408,0.0,0.0,Positive,Neutral,Neutral,0.0,You see references you know Luke I am your father but with somebody else's name,Observed change under synthetic masking; semantic cause requires manual review,am your father but with somebody else ' s,False,"[2572, 2115, 2269, 2021, 2007, 8307, 2842, 1005, 1055]","[8, 9, 10, 11, 12, 13, 14, 15, 16]"
f_ZJ7L14oYQ$_$27,fixed_random,5104,audio+vision,early,0.55,1,14,1.6666666269302368,0.8200994729995728,0.5708434581756592,Positive,Positive,Positive,0.24925601482391357,So what I found is that I just pop these over my tennis shoes and I don't have to worry about it anymore.,Observed change under synthetic masking; semantic cause requires manual review,what i found is that i just pop these over my tennis shoes and,False,"[2054, 1045, 2179, 2003, 2008, 1045, 2074, 3769, 2122, 2058, 2026, 5093, 6007, 1998]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
