sample_id,word_index,word,original_pred_start,original_pred_end,boundary_evidence_valid,reason,reference_start_s,reference_end_s
-mJ2ud6oKI8__1,0,There,0.0025,0.2825,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,1,are,0.3025,0.3625,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,2,a,0.3825,0.4025,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,3,dozen,0.4225,0.6225,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,4,or,0.6825,0.7225,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,5,more,0.7425,0.8225,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,6,hands,0.8425,5.4025,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,7,on,5.4225,5.4625,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,8,techniques,5.4825,5.6825,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,9,that,5.7025,5.7825,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,10,we,5.8025,5.8625,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,11,can,5.9225,5.9825,False,original_audio_all_zero,,
-mJ2ud6oKI8__1,12,do,6.0025,6.0425,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,0,So,0.0025,0.0625,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,1,physical,0.0825,0.4025,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,2,therapists,0.4425,1.7425,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,3,and,2.1425,3.0025,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,4,chiropractors,3.2625,4.6825,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,5,will,4.7225,4.8225,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,6,do,4.8425,4.8825,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,7,joint,4.9025,5.0025,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,8,manipulations,5.0225,5.2825,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,9,and,5.3025,5.3625,False,original_audio_all_zero,,
-mJ2ud6oKI8__2,10,mobilizations,5.3825,5.6625,False,original_audio_all_zero,,
