sample_id,source_words,asr_sequence_similarity,kimi_mismatch_words,kimi_uncertain_words,kimi_not_heard_words,given_text,asr_text,review_priority,disposition
-mJ2ud6oKI8__6,5,0.15384615384615385,5,0,0,They are all very safe,that we all want to approach really any...,high,model_flag_only_not_confirmed_source_error
-HwX2H8Z4hY__2,8,0.6666666666666666,4,0,0,"” [President Ronald Reagan:] ""Look at the record",mediocrity. Look at the record.,normal,model_flag_only_not_confirmed_source_error
-s9qJ7ATP7w__1,11,0.8333333333333334,0,0,0,"But the hardest thing in life to learn, is to lose",The hardest thing in life to learn is to lose. Winning is easy.,normal,model_flag_only_not_confirmed_source_error
-iRBcNs9oI8__3,8,0.09090909090909091,8,0,0,"Well, it is the secret of power pose","is going to help you on your tests such as TOEFL, IELTS, or University.",high,model_flag_only_not_confirmed_source_error
-hnBHBN8p5A__6,13,0.16666666666666666,13,0,0,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",to follow just one vision. I've never wondered how a single-,high,model_flag_only_not_confirmed_source_error
-s9qJ7ATP7w__7,28,0.8070175438596491,0,0,1,"I used to work for Warren Avis, the guy who started Avis Rent a Car, and he said to me one day, ""Robert, ""what's the purpose of business","I used to work for Warren Avis, the guy who started Avis Renekar and he sets me one day, Robert, what's the purpose of business? And I said, oh,",normal,model_flag_only_not_confirmed_source_error
-wny0OAz3g8__7,29,0.8620689655172413,0,0,0,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,forces. Oman Winnett argued that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent.,normal,model_flag_only_not_confirmed_source_error
-I_e4mIh0yE__3,22,0.8837209302325582,0,3,0,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",It's perceived that you've actually learned something over the course of your career and that you won't make the mistake twice.,normal,model_flag_only_not_confirmed_source_error
-yRb-Jum7EQ__5,25,0.0967741935483871,4,2,3,"Yesterday Eliav Gelman lost his life in another terrorist attack, not by the students of terrorism, but by those who teach terrorism, a Palestinian teacher.","It's very important that we have the right to be able to live in the area where we are safe. And the rest is not the right way, the right way, the right way, the right way.",high,model_flag_only_not_confirmed_source_error
-yRb-Jum7EQ__1,49,0.1348314606741573,4,14,6,"it comes with the assistance and agitation of states and regimes, Yesterday Iran announced that it will finance the families of the terrorists and murderers this shows that Iran, even after the nuclear agreement, is continuing to aid terrorism, including Palestinian terrorism, Hezbollah terrorism and its assistance to Hamas.","of the area of ​​the capital of theIP, the United States of Iran, the House of Representatives of the terrorist groups, and that's what Iran is doing, once again, has been under control over the Palestinian state for several years.",high,model_flag_only_not_confirmed_source_error
