evidence_id,id,modality,feature_start,feature_end_exclusive,signed_score,mapping_status,text_excerpt,start_sec,end_sec,video_frame_pts,human_verified,token_start,token_end_exclusive,char_start,char_end_exclusive,ctc_min_word_score,frame_path,punctuation_only_words_skipped
01:text:3:7,01,text,3,7,0.11829507350921631,text_exact_ctc_time_candidate,wear components when replacing,1.2225,2.5825,1.933333,False,3,7,16,46,0.6071893572807312,,0
01:text:1:2,01,text,1,2,0.026408016681671143,text_exact_ctc_time_candidate,Replacing,0.5025,0.9425,0.733333,False,1,2,0,9,0.977187991142273,,0
01:audio:19:23,01,audio,19,23,0.0373079776763916,text_exact_ctc_time_candidate,its mileage requirements,7.0425,8.2625,7.666667,False,19,23,113,137,0.459136962890625,,0
01:audio:17:18,01,audio,17,18,0.004701629281044006,text_exact_ctc_time_candidate,performs,6.1625,6.7025,6.4,False,17,18,101,109,0.9223132133483887,,0
01:vision:10:14,01,vision,10,14,0.03569376468658447,text_exact_ctc_time_candidate,is essential to ensuring,3.6025,5.0225,4.333333,False,10,14,63,87,0.8565182685852051,frames/01_vision_10_14.png,0
01:vision:5:6,01,vision,5,6,0.008851379156112671,text_exact_ctc_time_candidate,when,1.9825,2.1025,2.066667,False,5,6,32,36,0.9643266797065735,frames/01_vision_5_6.png,0
02:text:16:20,02,text,16,20,0.2073235809803009,text_exact_ctc_time_candidate,’s misery.,2.2425,2.7625,2.533333,False,16,20,61,71,0.43458205461502075,,0
02:audio:10:14,02,audio,10,14,0.029072850942611694,text_exact_ctc_time_candidate,happiness - not by,1.4425,2.0425,1.733333,False,10,14,32,50,0.9414522051811218,,1
02:vision:9:13,02,vision,9,13,0.021771252155303955,text_exact_ctc_time_candidate,s happiness - not,1.2425,1.9225,1.6,False,9,13,30,47,0.9414522051811218,frames/02_vision_9_13.png,1
03:text:18:22,03,text,18,22,0.1614254117012024,text_exact_ctc_time_candidate,don't take,4.5225,4.9825,4.733333,False,18,22,68,78,0.981237530708313,,0
03:text:24:27,03,text,24,27,0.1277814507484436,text_exact_ctc_time_candidate,"into account,",5.9025,6.5225,6.2,False,24,27,93,106,0.9466512799263,,0
03:audio:25:29,03,audio,25,29,0.0089646577835083,text_exact_ctc_time_candidate,"account, they take",6.2225,7.2225,6.733333,False,25,29,98,116,0.9011899828910828,,0
03:audio:11:13,03,audio,11,13,0.005677402019500732,text_exact_ctc_time_candidate,I think,2.3425,2.5425,2.466667,False,11,13,39,46,0.9379803538322449,,0
03:audio:21:22,03,audio,21,22,0.0037395358085632324,text_exact_ctc_time_candidate,take,4.8025,4.9825,4.866667,False,21,22,74,78,0.9965950846672058,,0
03:vision:28:32,03,vision,28,32,0.02502739429473877,text_exact_ctc_time_candidate,take rental yield into,7.0425,8.6225,7.8,False,28,32,112,134,0.6544232368469238,frames/03_vision_28_32.png,0
03:vision:10:13,03,vision,10,13,0.018137753009796143,text_exact_ctc_time_candidate,which I think,2.1625,2.5425,2.333333,False,10,13,33,46,0.9379803538322449,frames/03_vision_10_13.png,0
04:text:24:27,04,text,24,27,0.06693951785564423,text_exact_ctc_time_candidate,Absolutely not.,5.4425,6.2425,5.866667,False,24,27,92,107,0.9879645705223083,,0
04:text:18:20,04,text,18,20,0.054293468594551086,text_exact_ctc_time_candidate,GO BLUE,3.7825,4.2625,4.0,False,18,20,73,80,0.7811517119407654,,0
04:text:23:24,04,text,23,24,0.022736623883247375,text_exact_ctc_time_candidate,],4.4825,4.9625,4.733333,False,23,24,90,91,0.8454486727714539,,0
04:audio:1:5,04,audio,1,5,0.07989154756069183,text_exact_ctc_time_candidate,If I blow it,0.5025,1.0625,0.8,False,1,5,0,12,0.5416624546051025,,0
04:audio:25:27,04,audio,25,27,0.0421881377696991,text_exact_ctc_time_candidate,not.,6.0225,6.2425,6.133333,False,25,27,103,107,0.9901082515716553,,0
04:vision:11:15,04,vision,11,15,0.057334303855895996,text_exact_ctc_time_candidate,I kiss my chances,2.3825,3.2425,2.8,False,11,15,42,59,0.9901923537254333,frames/04_vision_11_15.png,0
04:vision:7:9,04,vision,7,9,0.027755603194236755,text_exact_ctc_time_candidate,team exercise,1.2825,1.9625,1.6,False,7,9,20,33,0.9457052946090698,frames/04_vision_7_9.png,0
05:text:1:4,05,text,1,4,0.06825804710388184,text_exact_ctc_time_candidate,"Hi, my",1.2625,2.0625,1.666667,False,1,4,0,6,0.806073009967804,,0
