sample_id,word_index,word,reference_start_s,reference_end_s,review_status,confidence,reviewer,review_date,playback_rate,reviewer_note,pred_start_s,pred_end_s,automatically_aligned,included_in_accuracy
-mJ2ud6oKI8__6,0,They,,,transcript_mismatch,,WorkBuddy-AI,2026-09-25,1,实际语音为'that we all want to approach really any...'（base/small双模型一致，语图约8-10个音节），与给定词'They are all very safe'不符,0.0225,0.4425,True,False
-mJ2ud6oKI8__6,1,are,,,transcript_mismatch,,WorkBuddy-AI,2026-09-25,1,实际语音为'that we all want to approach really any...'（base/small双模型一致，语图约8-10个音节），与给定词'They are all very safe'不符,0.5825,0.7025,True,False
-mJ2ud6oKI8__6,2,all,,,transcript_mismatch,,WorkBuddy-AI,2026-09-25,1,实际语音为'that we all want to approach really any...'（base/small双模型一致，语图约8-10个音节），与给定词'They are all very safe'不符,0.8425,0.9425,True,False
-mJ2ud6oKI8__6,3,very,,,transcript_mismatch,,WorkBuddy-AI,2026-09-25,1,实际语音为'that we all want to approach really any...'（base/small双模型一致，语图约8-10个音节），与给定词'They are all very safe'不符,1.3625,2.0025,True,False
-mJ2ud6oKI8__6,4,safe,,,transcript_mismatch,,WorkBuddy-AI,2026-09-25,1,实际语音为'that we all want to approach really any...'（base/small双模型一致，语图约8-10个音节），与给定词'They are all very safe'不符,2.0225,2.1625,True,False
-HwX2H8Z4hY__2,0,”,,,transcript_mismatch,,WorkBuddy-AI,2026-09-25,1,纯标点引号，无对应语音,,,False,False
-HwX2H8Z4hY__2,1,[President,,,transcript_mismatch,,WorkBuddy-AI,2026-09-25,1,说话人标注'[President Ronald Reagan:]'非口播内容；0-0.94秒实际语音为'mediocrity.',0.0025,0.2425,True,False
-HwX2H8Z4hY__2,2,Ronald,,,transcript_mismatch,,WorkBuddy-AI,2026-09-25,1,说话人标注'[President Ronald Reagan:]'非口播内容；0-0.94秒实际语音为'mediocrity.',0.3025,0.5225,True,False
-HwX2H8Z4hY__2,3,Reagan:],,,transcript_mismatch,,WorkBuddy-AI,2026-09-25,1,说话人标注'[President Ronald Reagan:]'非口播内容；0-0.94秒实际语音为'mediocrity.',0.5425,0.7825,True,False
-HwX2H8Z4hY__2,4,"""Look",2.685,2.800,confirmed,high,WorkBuddy-AI,2026-09-25,1,无,2.7025,2.8225,True,False
-HwX2H8Z4hY__2,5,at,2.800,2.905,confirmed,high,WorkBuddy-AI,2026-09-25,1,无,2.8825,2.9225,True,False
-HwX2H8Z4hY__2,6,the,2.940,3.020,confirmed,high,WorkBuddy-AI,2026-09-25,1,无,2.9625,3.0225,True,False
